Amazon,IMDB,Yelp,Cleaned Amazon,Cleaned IMDB,Cleaned Yelp,Cleaned Sentence,Tokenized Amazon,Tokenized IMDB,Tokenized Yelp,Stemmed Amazon,Stemmed IMDB,Stemmed Yelp,Filtered Amazon,Filtered IMDB,Filtered Yelp,Tokenized Sentence,Stemmed Sentence,Filtered Sentence,Sentiment
So there is no way for me to plug it in here in the US unless I go by a converter. 0,A very  very  very slow-moving  aimless movie about a distressed  drifting young man.   0,Wow... Loved this place. 1,so there is no way for me to plug it in here in the us unless i go by a converter 0,a very very very aimless movie about a distressed drifting young man 0,wow loved this place 1,so there is no way for me to plug it in here in the us unless i go by a converter 0 a very very very aimless movie about a distressed drifting young man 0 wow loved this place 1,"['so', 'there', 'is', 'no', 'way', 'for', 'me', 'to', 'plug', 'it', 'in', 'here', 'in', 'the', 'us', 'unless', 'i', 'go', 'by', 'a', 'converter', '0']","['a', 'very', 'very', 'very', 'aimless', 'movie', 'about', 'a', 'distressed', 'drifting', 'young', 'man', '0']","['wow', 'loved', 'this', 'place', '1']","['so', 'there', 'is', 'no', 'way', 'for', 'me', 'to', 'plug', 'it', 'in', 'here', 'in', 'the', 'us', 'unless', 'i', 'go', 'by', 'a', 'convert', '0']","['a', 'veri', 'veri', 'veri', 'aimless', 'movi', 'about', 'a', 'distress', 'drift', 'young', 'man', '0']","['wow', 'love', 'thi', 'place', '1']","['way', 'plug', 'us', 'unless', 'go', 'convert', '0']","['veri', 'veri', 'veri', 'aimless', 'movi', 'distress', 'drift', 'young', 'man', '0']","['wow', 'love', 'thi', 'place', '1']",so there is no way for me to plug it in here in the us unless i go by a converter 0 a very very very aimless movie about a distressed drifting young man 0 wow loved this place 1,so there is no way for me to plug it in here in the us unless i go by a convert 0 a veri veri veri aimless movi about a distress drift young man 0 wow love thi place 1,way plug us unless go convert 0 veri veri veri aimless movi distress drift young man 0 wow love thi place 1,Neutral
Good case  Excellent value. 1,Not sure who was more lost - the flat characters or the audience  nearly half of whom walked out.   0,Crust is not good. 0,good case excellent value 1,not sure who was more lost the flat characters or the audience nearly half of whom walked out 0,crust is not good 0,good case excellent value 1 not sure who was more lost the flat characters or the audience nearly half of whom walked out 0 crust is not good 0,"['good', 'case', 'excellent', 'value', '1']","['not', 'sure', 'who', 'was', 'more', 'lost', 'the', 'flat', 'characters', 'or', 'the', 'audience', 'nearly', 'half', 'of', 'whom', 'walked', 'out', '0']","['crust', 'is', 'not', 'good', '0']","['good', 'case', 'excel', 'valu', '1']","['not', 'sure', 'who', 'wa', 'more', 'lost', 'the', 'flat', 'charact', 'or', 'the', 'audienc', 'nearli', 'half', 'of', 'whom', 'walk', 'out', '0']","['crust', 'is', 'not', 'good', '0']","['good', 'case', 'excel', 'valu', '1']","['sure', 'wa', 'lost', 'flat', 'charact', 'audienc', 'nearli', 'half', 'walk', '0']","['crust', 'good', '0']",good case excellent value 1 not sure who was more lost the flat characters or the audience nearly half of whom walked out 0 crust is not good 0,good case excel valu 1 not sure who wa more lost the flat charact or the audienc nearli half of whom walk out 0 crust is not good 0,good case excel valu 1 sure wa lost flat charact audienc nearli half walk 0 crust good 0,Positive
Great for the jawbone. 1,Attempting artiness with black & white and clever camera angles  the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.   0,Not tasty and the texture was just nasty. 0,great for the jawbone 1,attempting artiness with black white and clever camera angles the movie disappointed became even more ridiculous as the acting was poor and the plot and lines almost 0,not tasty and the texture was just nasty 0,great for the jawbone 1 attempting artiness with black white and clever camera angles the movie disappointed became even more ridiculous as the acting was poor and the plot and lines almost 0 not tasty and the texture was just nasty 0,"['great', 'for', 'the', 'jawbone', '1']","['attempting', 'artiness', 'with', 'black', 'white', 'and', 'clever', 'camera', 'angles', 'the', 'movie', 'disappointed', 'became', 'even', 'more', 'ridiculous', 'as', 'the', 'acting', 'was', 'poor', 'and', 'the', 'plot', 'and', 'lines', 'almost', '0']","['not', 'tasty', 'and', 'the', 'texture', 'was', 'just', 'nasty', '0']","['great', 'for', 'the', 'jawbon', '1']","['attempt', 'arti', 'with', 'black', 'white', 'and', 'clever', 'camera', 'angl', 'the', 'movi', 'disappoint', 'becam', 'even', 'more', 'ridicul', 'as', 'the', 'act', 'wa', 'poor', 'and', 'the', 'plot', 'and', 'line', 'almost', '0']","['not', 'tasti', 'and', 'the', 'textur', 'wa', 'just', 'nasti', '0']","['great', 'jawbon', '1']","['attempt', 'arti', 'black', 'white', 'clever', 'camera', 'angl', 'movi', 'disappoint', 'becam', 'even', 'ridicul', 'act', 'wa', 'poor', 'plot', 'line', 'almost', '0']","['tasti', 'textur', 'wa', 'nasti', '0']",great for the jawbone 1 attempting artiness with black white and clever camera angles the movie disappointed became even more ridiculous as the acting was poor and the plot and lines almost 0 not tasty and the texture was just nasty 0,great for the jawbon 1 attempt arti with black white and clever camera angl the movi disappoint becam even more ridicul as the act wa poor and the plot and line almost 0 not tasti and the textur wa just nasti 0,great jawbon 1 attempt arti black white clever camera angl movi disappoint becam even ridicul act wa poor plot line almost 0 tasti textur wa nasti 0,Neutral
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!! 0,Very little music or anything to speak of.   0,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it. 1,tied to charger for conversations lasting more than 45 problems 0,very little music or anything to speak of 0,stopped by during the late may bank holiday off rick steve recommendation and loved it 1,tied to charger for conversations lasting more than 45 problems 0 very little music or anything to speak of 0 stopped by during the late may bank holiday off rick steve recommendation and loved it 1,"['tied', 'to', 'charger', 'for', 'conversations', 'lasting', 'more', 'than', '45', 'problems', '0']","['very', 'little', 'music', 'or', 'anything', 'to', 'speak', 'of', '0']","['stopped', 'by', 'during', 'the', 'late', 'may', 'bank', 'holiday', 'off', 'rick', 'steve', 'recommendation', 'and', 'loved', 'it', '1']","['tie', 'to', 'charger', 'for', 'convers', 'last', 'more', 'than', '45', 'problem', '0']","['veri', 'littl', 'music', 'or', 'anyth', 'to', 'speak', 'of', '0']","['stop', 'by', 'dure', 'the', 'late', 'may', 'bank', 'holiday', 'off', 'rick', 'steve', 'recommend', 'and', 'love', 'it', '1']","['tie', 'charger', 'convers', 'last', '45', 'problem', '0']","['veri', 'littl', 'music', 'anyth', 'speak', '0']","['stop', 'dure', 'late', 'may', 'bank', 'holiday', 'rick', 'steve', 'recommend', 'love', '1']",tied to charger for conversations lasting more than 45 problems 0 very little music or anything to speak of 0 stopped by during the late may bank holiday off rick steve recommendation and loved it 1,tie to charger for convers last more than 45 problem 0 veri littl music or anyth to speak of 0 stop by dure the late may bank holiday off rick steve recommend and love it 1,tie charger convers last 45 problem 0 veri littl music anyth speak 0 stop dure late may bank holiday rick steve recommend love 1,Neutral
The mic is great. 1,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.   1,The selection on the menu was great and so were the prices. 1,the mic is great 1,the best scene in the movie was when gerardo is trying to find a song that keeps running through his head 1,the selection on the menu was great and so were the prices 1,the mic is great 1 the best scene in the movie was when gerardo is trying to find a song that keeps running through his head 1 the selection on the menu was great and so were the prices 1,"['the', 'mic', 'is', 'great', '1']","['the', 'best', 'scene', 'in', 'the', 'movie', 'was', 'when', 'gerardo', 'is', 'trying', 'to', 'find', 'a', 'song', 'that', 'keeps', 'running', 'through', 'his', 'head', '1']","['the', 'selection', 'on', 'the', 'menu', 'was', 'great', 'and', 'so', 'were', 'the', 'prices', '1']","['the', 'mic', 'is', 'great', '1']","['the', 'best', 'scene', 'in', 'the', 'movi', 'wa', 'when', 'gerardo', 'is', 'tri', 'to', 'find', 'a', 'song', 'that', 'keep', 'run', 'through', 'hi', 'head', '1']","['the', 'select', 'on', 'the', 'menu', 'wa', 'great', 'and', 'so', 'were', 'the', 'price', '1']","['mic', 'great', '1']","['best', 'scene', 'movi', 'wa', 'gerardo', 'tri', 'find', 'song', 'keep', 'run', 'hi', 'head', '1']","['select', 'menu', 'wa', 'great', 'price', '1']",the mic is great 1 the best scene in the movie was when gerardo is trying to find a song that keeps running through his head 1 the selection on the menu was great and so were the prices 1,the mic is great 1 the best scene in the movi wa when gerardo is tri to find a song that keep run through hi head 1 the select on the menu wa great and so were the price 1,mic great 1 best scene movi wa gerardo tri find song keep run hi head 1 select menu wa great price 1,Neutral
I have to jiggle the plug to get it to line up right to get decent volume. 0,The rest of the movie lacks art  charm  meaning... If it's about emptiness  it works I guess because it's empty.   0,Now I am getting angry and I want my damn pho. 0,i have to jiggle the plug to get it to line up right to get decent volume 0,the rest of the movie lacks art charm meaning if it about emptiness it works i guess because it empty 0,now i am getting angry and i want my damn pho 0,i have to jiggle the plug to get it to line up right to get decent volume 0 the rest of the movie lacks art charm meaning if it about emptiness it works i guess because it empty 0 now i am getting angry and i want my damn pho 0,"['i', 'have', 'to', 'jiggle', 'the', 'plug', 'to', 'get', 'it', 'to', 'line', 'up', 'right', 'to', 'get', 'decent', 'volume', '0']","['the', 'rest', 'of', 'the', 'movie', 'lacks', 'art', 'charm', 'meaning', 'if', 'it', 'about', 'emptiness', 'it', 'works', 'i', 'guess', 'because', 'it', 'empty', '0']","['now', 'i', 'am', 'getting', 'angry', 'and', 'i', 'want', 'my', 'damn', 'pho', '0']","['i', 'have', 'to', 'jiggl', 'the', 'plug', 'to', 'get', 'it', 'to', 'line', 'up', 'right', 'to', 'get', 'decent', 'volum', '0']","['the', 'rest', 'of', 'the', 'movi', 'lack', 'art', 'charm', 'mean', 'if', 'it', 'about', 'empti', 'it', 'work', 'i', 'guess', 'becaus', 'it', 'empti', '0']","['now', 'i', 'am', 'get', 'angri', 'and', 'i', 'want', 'my', 'damn', 'pho', '0']","['jiggl', 'plug', 'get', 'line', 'right', 'get', 'decent', 'volum', '0']","['rest', 'movi', 'lack', 'art', 'charm', 'mean', 'empti', 'work', 'guess', 'becaus', 'empti', '0']","['get', 'angri', 'want', 'damn', 'pho', '0']",i have to jiggle the plug to get it to line up right to get decent volume 0 the rest of the movie lacks art charm meaning if it about emptiness it works i guess because it empty 0 now i am getting angry and i want my damn pho 0,i have to jiggl the plug to get it to line up right to get decent volum 0 the rest of the movi lack art charm mean if it about empti it work i guess becaus it empti 0 now i am get angri and i want my damn pho 0,jiggl plug get line right get decent volum 0 rest movi lack art charm mean empti work guess becaus empti 0 get angri want damn pho 0,Neutral
If you have several dozen or several hundred contacts  then imagine the fun of sending each of them one by one. 0,Wasted two hours.   0,Honeslty it didn't taste THAT fresh.) 0,if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one 0,wasted two hours 0,honeslty it did taste that fresh 0,if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one 0 wasted two hours 0 honeslty it did taste that fresh 0,"['if', 'you', 'have', 'several', 'dozen', 'or', 'several', 'hundred', 'contacts', 'then', 'imagine', 'the', 'fun', 'of', 'sending', 'each', 'of', 'them', 'one', 'by', 'one', '0']","['wasted', 'two', 'hours', '0']","['honeslty', 'it', 'did', 'taste', 'that', 'fresh', '0']","['if', 'you', 'have', 'sever', 'dozen', 'or', 'sever', 'hundr', 'contact', 'then', 'imagin', 'the', 'fun', 'of', 'send', 'each', 'of', 'them', 'one', 'by', 'one', '0']","['wast', 'two', 'hour', '0']","['honeslti', 'it', 'did', 'tast', 'that', 'fresh', '0']","['sever', 'dozen', 'sever', 'hundr', 'contact', 'imagin', 'fun', 'send', 'one', 'one', '0']","['wast', 'two', 'hour', '0']","['honeslti', 'tast', 'fresh', '0']",if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one 0 wasted two hours 0 honeslty it did taste that fresh 0,if you have sever dozen or sever hundr contact then imagin the fun of send each of them one by one 0 wast two hour 0 honeslti it did tast that fresh 0,sever dozen sever hundr contact imagin fun send one one 0 wast two hour 0 honeslti tast fresh 0,Neutral
If you are Razr owner...you must have this! 1,Saw the movie today and thought it was a good effort  good messages for kids.   1,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer. 0,if you are razr owner you must have this 1,saw the movie today and thought it was a good effort good messages for kids 1,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer 0,if you are razr owner you must have this 1 saw the movie today and thought it was a good effort good messages for kids 1 the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer 0,"['if', 'you', 'are', 'razr', 'owner', 'you', 'must', 'have', 'this', '1']","['saw', 'the', 'movie', 'today', 'and', 'thought', 'it', 'was', 'a', 'good', 'effort', 'good', 'messages', 'for', 'kids', '1']","['the', 'potatoes', 'were', 'like', 'rubber', 'and', 'you', 'could', 'tell', 'they', 'had', 'been', 'made', 'up', 'ahead', 'of', 'time', 'being', 'kept', 'under', 'a', 'warmer', '0']","['if', 'you', 'are', 'razr', 'owner', 'you', 'must', 'have', 'thi', '1']","['saw', 'the', 'movi', 'today', 'and', 'thought', 'it', 'wa', 'a', 'good', 'effort', 'good', 'messag', 'for', 'kid', '1']","['the', 'potato', 'were', 'like', 'rubber', 'and', 'you', 'could', 'tell', 'they', 'had', 'been', 'made', 'up', 'ahead', 'of', 'time', 'be', 'kept', 'under', 'a', 'warmer', '0']","['razr', 'owner', 'must', 'thi', '1']","['saw', 'movi', 'today', 'thought', 'wa', 'good', 'effort', 'good', 'messag', 'kid', '1']","['potato', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer', '0']",if you are razr owner you must have this 1 saw the movie today and thought it was a good effort good messages for kids 1 the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer 0,if you are razr owner you must have thi 1 saw the movi today and thought it wa a good effort good messag for kid 1 the potato were like rubber and you could tell they had been made up ahead of time be kept under a warmer 0,razr owner must thi 1 saw movi today thought wa good effort good messag kid 1 potato like rubber could tell made ahead time kept warmer 0,Positive
Needless to say  I wasted my money. 0,A bit predictable.   0,The fries were great too. 1,needless to say i wasted my money 0,a bit predictable 0,the fries were great too 1,needless to say i wasted my money 0 a bit predictable 0 the fries were great too 1,"['needless', 'to', 'say', 'i', 'wasted', 'my', 'money', '0']","['a', 'bit', 'predictable', '0']","['the', 'fries', 'were', 'great', 'too', '1']","['needless', 'to', 'say', 'i', 'wast', 'my', 'money', '0']","['a', 'bit', 'predict', '0']","['the', 'fri', 'were', 'great', 'too', '1']","['needless', 'say', 'wast', 'money', '0']","['bit', 'predict', '0']","['fri', 'great', '1']",needless to say i wasted my money 0 a bit predictable 0 the fries were great too 1,needless to say i wast my money 0 a bit predict 0 the fri were great too 1,needless say wast money 0 bit predict 0 fri great 1,Neutral
What a waste of money and time!. 0,Loved the casting of Jimmy Buffet as the science teacher.   1,A great touch. 1,what a waste of money and time 0,loved the casting of jimmy buffet as the science teacher 1,a great touch 1,what a waste of money and time 0 loved the casting of jimmy buffet as the science teacher 1 a great touch 1,"['what', 'a', 'waste', 'of', 'money', 'and', 'time', '0']","['loved', 'the', 'casting', 'of', 'jimmy', 'buffet', 'as', 'the', 'science', 'teacher', '1']","['a', 'great', 'touch', '1']","['what', 'a', 'wast', 'of', 'money', 'and', 'time', '0']","['love', 'the', 'cast', 'of', 'jimmi', 'buffet', 'as', 'the', 'scienc', 'teacher', '1']","['a', 'great', 'touch', '1']","['wast', 'money', 'time', '0']","['love', 'cast', 'jimmi', 'buffet', 'scienc', 'teacher', '1']","['great', 'touch', '1']",what a waste of money and time 0 loved the casting of jimmy buffet as the science teacher 1 a great touch 1,what a wast of money and time 0 love the cast of jimmi buffet as the scienc teacher 1 a great touch 1,wast money time 0 love cast jimmi buffet scienc teacher 1 great touch 1,Neutral
